category,sub-category,sub-category-link,title,author,keywords
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"Lios Coronas Tejada, *Conversos and Inquisition in Jaén*, ed. Yom Tov Assis (Jerusalem: Magnes, 1988)",Yom Tov Assis ז״ל,"['Jewish Studies', 'Medieval History', 'Medieval Studies', 'Medieval Jewish Philosophy', 'Medieval Jewish History']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,Inequalities and Growth in the Late Medieval mezzadria Tuscany (15th-early 16th c.): first results from an ongoing research - Belfast ESSHConference 2018,Davide  Cristoferi,"['Economic History', 'Medieval History', 'Renaissance Studies', 'Rural History', 'Social Inequality', 'Poverty and Inequality']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"Communautés religieuses, justice et sociétés Xe Colloque international Colloque international du CERCOR du CERCOR",Sebastien Fray,"['Modern History', 'High Middle Ages', 'Late Middle Ages', 'Medieval History', 'Medieval Studies', 'Monastic Studies', 'Medieval Church History', 'Church History', 'Cistercians', 'Religious congregations and monastic orders', 'Monasticism', 'History of Monasticism', 'Cistercian Studies', 'Medieval Monasticism', 'Cathedral chapters', 'Benedictine Monasticism', 'History of Criminal Justice']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"""Les plantes, les régimes végétariens et la mélancolie à la fin du Moyen Age et au début de la Renaissance italienne""",Allen J Grieco,"['Renaissance History', 'Medieval History', 'Medieval Studies', 'Renaissance Studies', 'Intellectual History of the Renaissance', 'Medieval Europe', 'Medieval Italy', 'History of Botany', 'History of Dietetics']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,Recetas medievales para el vidriado de la cerámica,Ricardo Cordoba,"['History', 'Medieval History', 'Medieval ceramics (Archaeology)', 'Historia', 'Middle Ages', 'Cerámica medieval', 'Edad Media']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"Eugen Pfister, ""Kingdom Come: Deliverance. A Bohemian Forest Simulator"" in Gamevironments 11 (2019): Special Issue  on Nation(alism), Identity and Vidoe Games ed. by Lisa Kienzl and Katrin Trattner",Eugen Pfister,"['Medieval History', 'Popular Culture', 'Video Games']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"“I nostri contadini solevano istare molto meglio per lo addrieto che ora”: mezzadria, proprietà cittadina e disuguaglianza economica in Toscana, sec. XV-XVI, in Economic inequality in pre-industrial societies: causes and effect, ed. G. Nigro, Firenze, 2020 («Datini Studies in Economic History», 1)",Davide  Cristoferi,"['Economic History', 'Medieval History', 'Rural History', 'History of Florence', 'Poverty and Inequality']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"A Remembrance of His Wonders: Nature and the Supernatural in Medieval Ashkenaz (Philadelphia: Penn Press, 2017)",David Shyovitz,"['Jewish Studies', 'Medieval History', 'Medieval Studies', 'History of Science', 'Jewish Mysticism', 'Jewish History', 'The Body', 'Monster Theory', 'Jewish - Christian Relations', 'Jewish Thought', 'History of Religion (Medieval Studies)', 'Medieval Jewish History', 'Monsters and Monster Theory', 'History of Medicine and the Body', 'Monstrosity', 'German-Jewish Studies', 'Monsters and the Monstrous', 'German Jewish history', 'Medieval Ashkenaz']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,L'imaginaire masculin et la soumission des vassales dans le Royaume Latin de Jérusalem vers 1200: un jalon supplémentaire dans l'histoire de la violence …,myriam greilsammer,"['Law', 'Medieval History', 'Body', 'Violence Against Women', 'Latin', 'Near East', 'Middle Ages', 'Imaginary', 'Historical Studies', 'Centralization', 'Kingdom']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"A Local Society in Transition: The Henryków Book and Related Documents. Studies and Texts 155 (Toronto: Pontifical Institute of Mediaeval Studies, 2007)",Piotr S Górecki,"['Medieval History', 'Social History', 'Cistercians', 'Medieval Chronicles', 'Medieval Peasantry', 'Medieval Poland', 'Medieval Silesia', 'Cistercian monasteries', 'Cistercian Monastic History', 'Henryków Book', 'Henryków monastery', 'Abbot Peter of Henryków']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,Global Military Studies Review Vol 2 no 1.pdf,James Okolie-Osemene PhD,"['Religion', 'Military History', 'Military Science', 'Strategy (Military Science)', 'International Relations', 'Philosophy', 'Development Studies', 'Peace and Conflict Studies', 'Medieval History', 'Medieval Studies', 'Political Science', 'Culture', 'Medieval Archaeology', 'Military and Politics', 'Meditarrenean Studies', 'Meditarranean History']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,Lacerti di pavimenti cosmateschi dalla chiesa di S. Costanzo vecchia presso Aquino (Fr): nuovi dati dalla campagna di scavo 2015,Lorenzo Riccardi,"['Art History', 'Medieval History', 'Medieval Studies', 'Medieval Archaeology', 'Medieval Art', 'Cosmatesque pavements', 'Montecassino Abbey', 'Cosmati', 'Aquino']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"""The 'Henryków Book' and Its Contexts,"" in: Piotr Górecki, A Local Society in Transition: The Henryków Book and Related Documents (Toronto, 2007), 1–90",Piotr S Górecki,"['Medieval History', 'Cistercians', 'Monasticism', 'Medieval Chronicles', 'Medieval Poland', 'Medieval Silesia', 'Medieval cartularies', 'Henryków Book', 'Henryków monastery', 'Abbot Peter of Henryków']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,Primi risultati dalle indagini storico-archeologiche sul Castello di Caspoggio / Castrum de Malenco,Federico Zoni,"['Medieval History', 'Landscape Archaeology', 'Medieval Studies', 'Medieval Archaeology', 'Alpine Archaeology', 'Archeologia medievale', 'Storia medievale']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"Muret, un hito en la sedentarización del catarismo en Cataluña",Carles Gascón Chopo,"['Medieval History', 'Medieval Studies', 'Cathars', 'Catharism', 'Medieval Occitania', 'Medieval Catalonia']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"Monica H. Green, “Medical Manuscripts from the Long Twelfth Century,” Manuscripts on My Mind:  News from the Vatican Film Library, No. 8 (January 2013), p. 11",Monica H. Green,"['Medieval History', 'History of Medicine', 'Rare Books and Manuscripts', 'Manuscript Studies', 'Codicology of medieval manuscripts', 'Medieval Medicine', 'History of Medicine in Medieval and Early Modern Europe', 'Constantinus Africanus', 'medical school of Salerno', 'Gerard of Cremona', 'Constantine the African', 'Macer Floridus', 'Monte Cassino']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,SŁOWIAŃSKIM KRÓLU,Jordan Michow,"['Medieval History', 'Medieval Art']"
